Book name,Price,Rating,Availability,link
Robert Greene Concise Boxset (5 Books ),Rs. 799.00,No rating,Sold out,https://99bookstores.com/products/5-books-robert-greene-concise-box-set
SPECIAL COMBO 7,Rs. 399.00,No rating,Sold out,https://99bookstores.com/products/special-combo-7
(COMBO SET) Don't Believe Everything You Think + You2 + Attitude is Everything+ Dopamine Detox,Rs. 449.00,No rating,Sold out,https://99bookstores.com/products/combo-set-dont-believe-everything-you-think-you2-attitude-is-everything-dopamine-detox-per-piece
Harry Potter Boxset (1-7),"Rs. 1,599.00",No rating,Sold out,https://99bookstores.com/products/harry-potter-boxset-1-7
Diary of a Wimpy Kid Box Set (GREEN ) 14 BOOKS,"Rs. 1,499.00",No rating,Sold out,https://99bookstores.com/products/diary-of-a-wimpy-kid-box-set
Roald Dahl Collection  boxset ( 16 Stories Collection),"Rs. 1,499.00",No rating,Sold out,https://99bookstores.com/products/roald-dahl-complete-collection-16-copy-16-story-collection
FAMOUS FIVE COMPLETE BOX SET OF 21 TITLES,"Rs. 1,599.00",No rating,Sold out,https://99bookstores.com/products/famous-five-complete-box-set-of-21-titles
The Kalki Trilogy (Set of 3 Books) - Avatar of Vishnu; Eye of Brahma; Sword of Shiva,Rs. 599.00,No rating,Sold out,https://99bookstores.com/products/the-kalki-trilogy-set-of-3-books-avatar-of-vishnu-eye-of-brahma-sword-of-shiva
( Purple) Diary of a Wimpy Kid Box Set: 15 Books,"Rs. 1,499.00",No rating,Sold out,https://99bookstores.com/products/purple-boxset-diary-of-a-wimpy-kid-boxset-15-books-collection-books-1-15
SECRET SEVEN COMPLETE BOX SET OF 17 TITLES,"Rs. 1,499.00",No rating,Sold out,https://99bookstores.com/products/secret-seven-complete-box-set-of-17-titles
THE WITCHER BOX SET,"Rs. 1,499.00",No rating,Sold out,https://99bookstores.com/products/the-witcher-boxed-set
Boxset Throne of Glass by Sarah J. Maas,"Rs. 2,499.00",No rating,Sold out,https://99bookstores.com/products/throne-of-glass-box-set
Dork Diaries BOXSET,"Rs. 1,499.00",No rating,Sold out,https://99bookstores.com/products/dork-diaries-x-12-2018-set
